feature	X218538	X33039	X360807	X751585	X39491	X88431	X39488	X457412	X40518	X853	X39485	X1680	X216816	X562	X165179	X47678	X817	X818	X820	X821	X357276	X46506	X28116	X204516	X28117	X239935
SRR341600	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	-0.00474175666329005	0.0284852608987326	-0.00474175666329005	-0.00474175666329005	0.0305035650821769	0.00828828246185001	-0.00474175666329005	0.0115832621284547	-0.00474175666329005	-0.00474175666329005	0.239916680685269	0.144661385706795	-0.00474175666329005	-0.00474175666329005
SRR341601	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	0.0372830414944574	-0.00354714499224349	0.082936926329519	0.0347080060020479	-0.00354714499224349	-0.00354714499224349	0.0300807459084102	-0.00354714499224349	-0.00354714499224349	0.0562422104392688	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	-0.00354714499224349	0.0985833597923645	-0.00354714499224349
SRR341602	-0.00353818019418	0.0258529380862822	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	0.0320689927488785	-0.00353818019418	0.214745581448377	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	-0.00353818019418	0.0298379868244828	-0.00353818019418	-0.00353818019418	0.0181354407992151	-0.00353818019418
SRR341603	-0.00326879381350848	-0.00326879381350848	0.0200561522398947	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	0.0558816124692333	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	0.066927193639093	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	-0.00326879381350848	0.0421278092114917	0.028974944448575	0.120341673775491	-0.00326879381350848	0.0796699930943376	-0.00326879381350848	-0.00326879381350848
SRR341604	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	0.0548495166736954	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	0.0671872261751722	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658	-0.00487126150499658
SRR341605	-0.00315265816253317	0.0262752617278821	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	0.0158887971628085	0.0288838487311844	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	-0.00315265816253317	0.017331011681319	-0.00315265816253317	-0.00315265816253317	0.0871865504480096	-0.00315265816253317	-0.00315265816253317	0.205409093586026	0.0438519127837434	-0.00315265816253317
SRR341606	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	0.0383443057909629	0.0294740823155674	0.0547791651429026	-0.00413330943265768	0.0284979524331123	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	0.247349660199912	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768	-0.00413330943265768
SRR341654	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	0.0450926678222051	0.296872978086261	-0.00430807181284623	-0.00430807181284623	0.057254745055062	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	-0.00430807181284623	0.0482412084940659	0.137107285526828
SRR341655	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	0.0822682180813135	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	0.165866609537745	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	0.100663364860981	0.0213439971472644	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768	-0.00400020798861768
SRR341656	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	-0.00375174247337868	0.1265490624175	0.0387173428477821	-0.00375174247337868	-0.00375174247337868	0.03604111466662	-0.00375174247337868	-0.00375174247337868	0.117663798749965	-0.00375174247337868	-0.00375174247337868	0.0504060852183271	0.0420405038562108	-0.00375174247337868	0.0940525970542844	0.0317910616104237	-0.00375174247337868	0.0555137443727176	-0.00375174247337868
SRR341657	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	0.00819653900722583	-0.00387302982250619	-0.00387302982250619	0.0523429233742315	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	0.0786468839638912	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619	-0.00387302982250619
SRR341675	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	0.0342661936493824	0.0427269854569606	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	0.0381491567344637	-0.00375957507286198	0.0430345030034888	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	-0.00375957507286198	0.139848873048189	-0.00375957507286198
SRR341676	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	0.033458305064904	0.139284731227787	-0.0035732829321948	-0.0035732829321948	0.0305049031427125	-0.0035732829321948	0.0526067468906082	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	-0.0035732829321948	0.179269804507674	-0.0035732829321948	0.0469445308479797	0.0114877284931094	-0.0035732829321948
SRR341677	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431	0.0601833705117494	-0.00461549173413431	-0.00461549173413431	0.166250702213969	-0.00461549173413431	-0.00461549173413431	0.220743204334361	0.0302955635546009	-0.00461549173413431	0.085164972791331	-0.00461549173413431	-0.00461549173413431	-0.00461549173413431
SRR341678	-0.00418905292785197	0.0764011356199078	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	0.0219628845736646	0.144929845838384	0.0507564141505958	-0.00418905292785197	0.128284655545942	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197	-0.00418905292785197
SRR413673	-0.00400790029890221	0.0195596894466186	0.046265354024626	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	0.084986376112268	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	0.21072034141396	-0.00400790029890221	-0.00400790029890221	-0.00400790029890221	0.0280388723371133	-0.00400790029890221	-0.00400790029890221	0.0938653556540206	-0.00400790029890221	-0.00400790029890221	0.0851129834492959	-0.00400790029890221
SRR413674	-0.00237180760669455	0.0462435793853344	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	0.0447730991067296	-0.00237180760669455	0.0609428399029878	-0.00237180760669455	0.0678291205525333	-0.00237180760669455	0.046565583819511	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455	-0.00237180760669455
SRR413675	-0.00393068871684197	-0.00393068871684197	0.0604107817575223	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	0.0926804626387049	0.0134080232785787	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	0.105180185546317	0.10750602937696	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197	-0.00393068871684197
SRR413676	-0.00325979244015489	0.045704070928412	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	0.0494130149815905	0.0481850354656122	-0.00325979244015489	-0.00325979244015489	0.0280553306442683	-0.00325979244015489	0.0644409112240943	-0.00325979244015489	-0.00325979244015489	0.036335081475488	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	-0.00325979244015489	0.029879195224149	0.176733222068924
